Entity,Code,Year,Daily new confirmed cases of COVID-19 per million people
Afghanistan,AFG,36,0
Afghanistan,AFG,37,0
Afghanistan,AFG,38,0
Afghanistan,AFG,39,0
Afghanistan,AFG,40,0
Afghanistan,AFG,41,0
Afghanistan,AFG,42,0
Afghanistan,AFG,43,0
Afghanistan,AFG,44,0
Afghanistan,AFG,45,0
Afghanistan,AFG,46,0
Afghanistan,AFG,47,0.0788333898612535
Afghanistan,AFG,48,0
Afghanistan,AFG,49,0
Afghanistan,AFG,50,0
Afghanistan,AFG,51,0.0788333898612535
Afghanistan,AFG,52,0
Afghanistan,AFG,53,0
Afghanistan,AFG,54,0.0788333898612535
Afghanistan,AFG,55,0.157666779722507
Afghanistan,AFG,56,0.13138898310208916
Albania,ALB,49,0
Albania,ALB,50,2.719207187952281
Albania,ALB,51,0
Albania,ALB,52,4.418711680422456
Albania,ALB,53,3.399008984940351
Albania,ALB,54,1.6995044924701754
Albania,ALB,55,1.3596035939761404
Albania,ALB,56,3.0591080864463156
Algeria,DZA,37,0
Algeria,DZA,38,0
Algeria,DZA,39,0
Algeria,DZA,40,0
Algeria,DZA,41,0
Algeria,DZA,42,0.09230785917189926
Algeria,DZA,43,0
Algeria,DZA,44,0.16153875355082373
Algeria,DZA,45,0
Algeria,DZA,46,0.11538482396487408
Algeria,DZA,47,0
Algeria,DZA,48,0.06923089437892445
Algeria,DZA,49,0
Algeria,DZA,50,0
Algeria,DZA,51,0.11538482396487408
Algeria,DZA,52,0
Algeria,DZA,53,0.023076964792974816
Algeria,DZA,54,0.25384661272272296
Algeria,DZA,55,0.2769235775156978
Algeria,DZA,56,0.25384661272272296
Antigua and Barbuda,ATG,54,0
Antigua and Barbuda,ATG,55,0
Antigua and Barbuda,ATG,56,0
Argentina,ARG,44,0
Argentina,ARG,45,0
Argentina,ARG,46,0.021973000060931124
Argentina,ARG,47,0.15381100042651788
Argentina,ARG,48,0.06591900018279338
Argentina,ARG,49,0
Argentina,ARG,50,0.10986500030465562
Argentina,ARG,51,0.04394600012186225
Argentina,ARG,52,0.26367600073117353
Argentina,ARG,53,0.06591900018279338
Argentina,ARG,54,0.2417030006702424
Argentina,ARG,55,0.2417030006702424
Argentina,ARG,56,0.19775700054838014
Armenia,ARM,42,0
Armenia,ARM,43,0
Armenia,ARM,44,0
Armenia,ARM,45,0
Armenia,ARM,46,0
Armenia,ARM,47,0
Armenia,ARM,48,0
Armenia,ARM,49,0
Armenia,ARM,50,0
Armenia,ARM,51,0
Armenia,ARM,52,0
Armenia,ARM,53,2.382022670730624
Armenia,ARM,54,0
Armenia,ARM,55,6.125201153307319
Armenia,ARM,56,8.84751277699946
Australia,AUS,5,0.03937290459862532
Australia,AUS,6,0
Australia,AUS,7,0.03937290459862532
Australia,AUS,8,0.07874580919725065
Australia,AUS,9,0
Australia,AUS,10,0.07874580919725065
Australia,AUS,11,0.11811871379587596
Australia,AUS,12,0
Australia,AUS,13,0
Australia,AUS,14,0
Australia,AUS,15,0.03937290459862532
Australia,AUS,16,0.03937290459862532
Australia,AUS,17,0.03937290459862532
Australia,AUS,18,0
Australia,AUS,19,0
Australia,AUS,20,0
Australia,AUS,21,0
Australia,AUS,22,0
Australia,AUS,23,0
Australia,AUS,24,0
Australia,AUS,25,0
Australia,AUS,26,0
Australia,AUS,27,0
Australia,AUS,28,0
Australia,AUS,29,0
Australia,AUS,30,0
Australia,AUS,31,0.07874580919725065
Australia,AUS,32,0.1574916183945013
Australia,AUS,33,0.03937290459862532
Australia,AUS,34,0
Australia,AUS,35,0
Australia,AUS,36,0.03937290459862532
Australia,AUS,37,0
Australia,AUS,38,0
Australia,AUS,39,0.03937290459862532
Australia,AUS,40,0.03937290459862532
Australia,AUS,41,0.07874580919725065
Australia,AUS,42,0.23623742759175193
Australia,AUS,43,0.3937290459862532
Australia,AUS,44,0.5512206643807545
Australia,AUS,45,0
Australia,AUS,46,0.1968645229931266
Australia,AUS,47,0.47247485518350385
Australia,AUS,48,0.11811871379587596
Australia,AUS,49,0.5905935689793798
Australia,AUS,50,0.7874580919725064
Australia,AUS,51,0.3937290459862532
Australia,AUS,52,0.7087122827752558
Australia,AUS,53,2.2442555621216433
Australia,AUS,54,2.0473910391285166
Australia,AUS,55,1.9292723253326407
Australia,AUS,56,3.03171365409415
Austria,AUT,37,0
Austria,AUT,38,0.22773311045852926
Austria,AUT,39,0.11386655522926463
Austria,AUT,40,0.5693327761463232
Austria,AUT,41,0
Austria,AUT,42,0.910932441834117
Austria,AUT,43,0.6831993313755877
Austria,AUT,44,1.48026521798044
Austria,AUT,45,1.1386655522926463
Austria,AUT,46,2.163464549356028
Austria,AUT,47,4.326929098712056
Austria,AUT,48,0.910932441834117
Austria,AUT,49,2.163464549356028
Austria,AUT,50,5.807194316692496
Austria,AUT,51,13.663986627511756
Austria,AUT,52,6.718126758526613
Austria,AUT,53,16.282917397784843
Austria,AUT,54,33.70450034786233
Austria,AUT,55,18.104782281453076
Austria,AUT,56,19.69891405466278
Azerbaijan,AZE,41,0
Azerbaijan,AZE,42,0
Azerbaijan,AZE,43,0
Azerbaijan,AZE,44,0
Azerbaijan,AZE,45,0
Azerbaijan,AZE,46,0.5940745224903248
Azerbaijan,AZE,47,0
Azerbaijan,AZE,48,0
Azerbaijan,AZE,49,0
Azerbaijan,AZE,50,0
Azerbaijan,AZE,51,0
Azerbaijan,AZE,52,0.19802484083010824
Azerbaijan,AZE,53,0
Azerbaijan,AZE,54,0.792099363320433
Azerbaijan,AZE,55,0
Azerbaijan,AZE,56,0
Bahrain,BHR,36,10.60217403468678
Bahrain,BHR,37,4.12306768015597
Bahrain,BHR,38,0
Bahrain,BHR,39,2.94504834296855
Bahrain,BHR,40,1.17801933718742
Bahrain,BHR,41,4.12306768015597
Bahrain,BHR,42,1.17801933718742
Bahrain,BHR,43,0
Bahrain,BHR,44,0
Bahrain,BHR,45,0
Bahrain,BHR,46,0
Bahrain,BHR,47,4.12306768015597
Bahrain,BHR,48,13.547222377655329
Bahrain,BHR,49,17.6702900578113
Bahrain,BHR,50,0.58900966859371
Bahrain,BHR,51,46.53176381890309
Bahrain,BHR,52,3.53405801156226
Bahrain,BHR,53,8.83514502890565
Bahrain,BHR,54,0.58900966859371
Bahrain,BHR,55,5.8900966859371
Bahrain,BHR,56,4.71207734874968
Bangladesh,BGD,49,0
Bangladesh,BGD,50,0
Bangladesh,BGD,51,0
Bangladesh,BGD,52,0
Bangladesh,BGD,53,0
Bangladesh,BGD,54,0
Bangladesh,BGD,55,0.011780276011749155
Bangladesh,BGD,56,0.01767041401762373
Belarus,BLR,39,0
Belarus,BLR,40,0
Belarus,BLR,41,0
Belarus,BLR,42,0
Belarus,BLR,43,0
Belarus,BLR,44,0.531043135465599
Belarus,BLR,45,0
Belarus,BLR,46,0
Belarus,BLR,47,0
Belarus,BLR,48,0
Belarus,BLR,49,0
Belarus,BLR,50,0.31862588127935937
Belarus,BLR,51,0.31862588127935937
Belarus,BLR,52,0
Belarus,BLR,53,0.9558776438380782
Belarus,BLR,54,0
Belarus,BLR,55,1.593129406396797
Belarus,BLR,56,0
Belgium,BEL,16,0
Belgium,BEL,17,0
Belgium,BEL,18,0
Belgium,BEL,19,0
Belgium,BEL,20,0
Belgium,BEL,21,0
Belgium,BEL,22,0
Belgium,BEL,23,0
Belgium,BEL,24,0
Belgium,BEL,25,0
Belgium,BEL,26,0
Belgium,BEL,27,0
Belgium,BEL,28,0
Belgium,BEL,29,0
Belgium,BEL,30,0
Belgium,BEL,31,0
Belgium,BEL,32,0
Belgium,BEL,33,0
Belgium,BEL,34,0
Belgium,BEL,35,0
Belgium,BEL,36,0
Belgium,BEL,37,0
Belgium,BEL,38,0
Belgium,BEL,39,0
Belgium,BEL,40,0
Belgium,BEL,41,0
Belgium,BEL,42,0.6024110901472052
Belgium,BEL,43,0
Belgium,BEL,44,1.2908809074582968
Belgium,BEL,45,2.3235856334249343
Belgium,BEL,46,5.0774649026693
Belgium,BEL,47,5.163523629833187
Belgium,BEL,48,2.66782054208048
Belgium,BEL,49,3.3562903593915716
Belgium,BEL,50,2.4096443605888207
Belgium,BEL,51,4.044760176702663
Belgium,BEL,52,0
Belgium,BEL,53,24.52673724170764
Belgium,BEL,54,7.74528544474978
Belgium,BEL,55,34.07925595689903
Belgium,BEL,56,0
Bhutan,BTN,46,0
Bhutan,BTN,47,0
Bhutan,BTN,48,0
Bhutan,BTN,49,0
Bhutan,BTN,50,0
Bhutan,BTN,51,0
Bhutan,BTN,52,0
Bhutan,BTN,53,0
Bhutan,BTN,54,0
Bhutan,BTN,55,0
Bhutan,BTN,56,0
Bolivia,BOL,51,0
Bolivia,BOL,52,0.08662522169559862
Bolivia,BOL,53,0
Bolivia,BOL,54,0
Bolivia,BOL,55,0.693001773564789
Bolivia,BOL,56,0
Bosnia and Herzegovina,BIH,45,0
Bosnia and Herzegovina,BIH,46,0
Bosnia and Herzegovina,BIH,47,0
Bosnia and Herzegovina,BIH,48,0
Bosnia and Herzegovina,BIH,49,0
Bosnia and Herzegovina,BIH,50,0.5717209658653998
Bosnia and Herzegovina,BIH,51,0
Bosnia and Herzegovina,BIH,52,0
Bosnia and Herzegovina,BIH,53,2.001023380528899
Bosnia and Herzegovina,BIH,54,2.001023380528899
Bosnia and Herzegovina,BIH,55,0
Bosnia and Herzegovina,BIH,56,0.2858604829326999
Brazil,BRA,38,0
Brazil,BRA,39,0
Brazil,BRA,40,0.004675889634528071
Brazil,BRA,41,0
Brazil,BRA,42,0
Brazil,BRA,43,0
Brazil,BRA,44,0.004675889634528071
Brazil,BRA,45,0.018703558538112282
Brazil,BRA,46,0.028055337807168425
Brazil,BRA,47,0.028055337807168425
Brazil,BRA,48,0.028055337807168425
Brazil,BRA,49,0
Brazil,BRA,50,0.042083006710752636
Brazil,BRA,51,0.08416601342150527
Brazil,BRA,52,0.11689724086320177
Brazil,BRA,53,0.09819368232508949
Brazil,BRA,54,0.10754546159414563
Brazil,BRA,55,0.3693952811277176
Brazil,BRA,56,0.1589802475739544
Brunei,BRN,50,0
Brunei,BRN,51,24.745848883849735
Brunei,BRN,52,0
Brunei,BRN,53,29.24509413545878
Brunei,BRN,54,33.74433938706782
Brunei,BRN,55,22.496226258045212
Brunei,BRN,56,0
Bulgaria,BGR,48,0.28816255595576534
Bulgaria,BGR,49,0
Bulgaria,BGR,50,0.28816255595576534
Bulgaria,BGR,51,0.14408127797788267
Bulgaria,BGR,52,0
Bulgaria,BGR,53,0
Bulgaria,BGR,54,5.186926007203776
Bulgaria,BGR,55,1.1526502238230614
Bulgaria,BGR,56,2.3053004476461227
Burkina Faso,BFA,51,0
Burkina Faso,BFA,52,0
Burkina Faso,BFA,53,0
Burkina Faso,BFA,54,0.04783923338585284
Burkina Faso,BFA,55,0
Burkina Faso,BFA,56,0.574070800630234
Cambodia,KHM,8,0
Cambodia,KHM,9,0
Cambodia,KHM,10,0
Cambodia,KHM,11,0
Cambodia,KHM,12,0
Cambodia,KHM,13,0
Cambodia,KHM,14,0
Cambodia,KHM,15,0
Cambodia,KHM,16,0
Cambodia,KHM,17,0
Cambodia,KHM,18,0
Cambodia,KHM,19,0
Cambodia,KHM,20,0
Cambodia,KHM,21,0
Cambodia,KHM,22,0
Cambodia,KHM,23,0
Cambodia,KHM,24,0
Cambodia,KHM,25,0
Cambodia,KHM,26,0
Cambodia,KHM,27,0
Cambodia,KHM,28,0
Cambodia,KHM,29,0
Cambodia,KHM,30,0
Cambodia,KHM,31,0
Cambodia,KHM,32,0
Cambodia,KHM,33,0
Cambodia,KHM,34,0
Cambodia,KHM,35,0
Cambodia,KHM,36,0
Cambodia,KHM,37,0
Cambodia,KHM,38,0
