Gemeentecode,Gemeentenaam,Grote_gemeente,Inwonertal,Provincienaam,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19
GM0518,s-Gravenhage,Ja,537833,Zuid-Holland,0,0,0,0,0,0,0,0,2,2,2,2,3,7,7,8,9,10,14,17,21,27
GM0796,s-Hertogenbosch,Ja,154205,Noord-Brabant,0,0,0,0,0,0,0,0,0,2,2,3,4,5,8,11,14,14,20,24,30,35
GM1680,Aa en Hunze,Nee,25386,Drenthe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GM0358,Aalsmeer,Nee,31728,Noord-Holland,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,3,3,3,3,3,4
GM0197,Aalten,Nee,27011,Gelderland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GM0059,Achtkarspelen,Nee,27852,Friesland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GM0482,Alblasserdam,Nee,20069,Zuid-Holland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
GM0613,Albrandswaard,Nee,25271,Zuid-Holland,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,3,4,4
GM0361,Alkmaar,Ja,108558,Noord-Holland,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,5,9
GM0141,Almelo,Nee,72849,Overijssel,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2
GM0034,Almere,Ja,207904,Flevoland,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,3,3,4,5
GM0484,Alphen aan den Rijn,Ja,110986,Zuid-Holland,0,0,0,0,1,1,1,1,1,1,1,1,1,2,3,4,6,6,6,6,9,10
GM1723,Alphen-Chaam,Nee,10149,Noord-Brabant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,6,6
GM1959,Altena,Nee,55386,Noord-Brabant,0,0,0,1,1,4,3,4,4,4,4,4,4,4,5,8,9,10,12,12,15,19
GM0060,Ameland,Nee,3673,Friesland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GM0307,Amersfoort,Ja,156286,Utrecht,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,4,10,18,21,23,30
GM0362,Amstelveen,Nee,90838,Noord-Holland,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,3,3,3,4,6,7,13
GM0363,Amsterdam,Ja,862965,Noord-Holland,0,0,0,0,0,0,1,2,5,5,6,6,8,8,11,20,31,31,39,56,61,85
GM0200,Apeldoorn,Ja,162445,Gelderland,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,3,7,7,10,11
GM0003,Appingedam,Nee,11721,Groningen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GM0202,Arnhem,Ja,159265,Gelderland,0,0,0,0,0,0,0,1,1,1,3,2,2,3,4,4,4,7,7,8,9,10
GM0106,Assen,Nee,67963,Drenthe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GM0743,Asten,Nee,16710,Noord-Brabant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2
GM0744,Baarle-Nassau,Nee,6847,Noord-Brabant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GM0308,Baarn,Nee,24767,Utrecht,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
GM0489,Barendrecht,Nee,48673,Zuid-Holland,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,3,3,3,4
GM0203,Barneveld,Nee,57971,Gelderland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,5,6
GM0888,Beek,Nee,15929,Limburg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3
GM1954,Beekdaelen,Nee,35727,Limburg,0,0,0,0,0,0,0,1,1,2,2,4,5,8,8,8,9,12,13,15,18,18
GM0370,Beemster,Nee,9748,Noord-Holland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GM0889,Beesel,Nee,13519,Limburg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GM1945,Berg en Dal,Nee,34798,Gelderland,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,5,6,6,10,14,14,18
GM1724,Bergeijk,Nee,18491,Noord-Brabant,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
GM0893,Bergen (L.),Nee,13140,Limburg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
GM0373,Bergen (NH.),Nee,29974,Noord-Holland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,4
GM0748,Bergen op Zoom,Nee,66811,Noord-Brabant,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,4,4,5,5,6
GM1859,Berkelland,Nee,43904,Gelderland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
GM1721,Bernheze,Nee,30806,Noord-Brabant,0,0,0,0,0,0,0,0,0,1,1,2,2,2,4,13,15,16,19,20,26,30
GM0753,Best,Nee,29821,Noord-Brabant,0,0,0,0,0,0,0,1,1,1,2,2,2,3,3,3,3,3,4,5,6,6
GM0209,Beuningen,Nee,25882,Gelderland,0,0,0,0,0,0,0,1,1,1,3,3,3,3,3,3,4,4,5,6,6,6
GM0375,Beverwijk,Nee,41176,Noord-Holland,0,0,0,0,0,1,1,2,2,3,4,4,4,4,5,5,5,5,5,6,6,6
GM1728,Bladel,Nee,20175,Noord-Brabant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,3
GM0376,Blaricum,Nee,11202,Noord-Holland,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2
GM0377,Bloemendaal,Nee,23410,Noord-Holland,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,3,3,3
GM1901,Bodegraven-Reeuwijk,Nee,34462,Zuid-Holland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
GM0755,Boekel,Nee,10588,Noord-Brabant,0,0,0,0,0,0,0,0,0,0,1,1,2,7,8,11,12,12,14,14,19,20
GM1681,Borger-Odoorn,Nee,25372,Drenthe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GM0147,Borne,Nee,23210,Overijssel,0,0,0,0,0,0,1,1,1,4,4,4,4,3,2,3,3,3,3,3,3,3
GM0654,Borsele,Nee,22800,Zeeland,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,3
GM0756,Boxmeer,Nee,29065,Noord-Brabant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2
GM0757,Boxtel,Nee,30747,Noord-Brabant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,5,5,6
GM0758,Breda,Ja,183873,Noord-Brabant,0,0,0,0,0,0,0,0,2,2,16,19,27,32,42,53,64,71,86,96,105,113
GM0501,Brielle,Nee,17182,Zuid-Holland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
GM1876,Bronckhorst,Nee,36212,Gelderland,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2,2,2,2,2,2,3
GM0213,Brummen,Nee,20698,Gelderland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
GM0899,Brunssum,Nee,28103,Limburg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4
GM0312,Bunnik,Nee,15192,Utrecht,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
